Estrato,Estadillo,Cla,Subclase,Especie,CD,NPies,ABas,VCC,VSC,IAVC,VLE,BA,BR,CA,CR,Proceso,Provincia
"12","0004","A","1","023",45,5.092962480782025,0.813604,3.831872197308047,2.91050988316115,0.07237457983261443,0.4938186139974393,3.985234632259423,1.212018984017647,1.992617316129711,0.6060094920088237,"45","45"
"12","0004","A","1","023",55,5.092962480782025,1.245456,3.091613134920923,2.394031022661903,0.08750911016812601,0.9443971056205703,6.093531106372863,1.855345248743471,3.046765553186431,0.9276726243717355,"45","45"
"12","0004","A","1","026",35,14.14711800217229,1.521111111111111,7.642363036889297,4.915851026101187,0.3473490500241526,0.4523119255504993,4.837209389843125,1.56779249236994,2.418604694921562,0.7838962461849701,"45","45"
"12","0004","A","1","045",25,28.29423600434458,1.593725,3.764141337824697,3.090363552349691,0.05942095323567367,1.532077451158033,8.778822600618973,5.154156334849551,4.389411300309487,2.577078167424776,"45","45"
"17","0005","A","1","026",15,63.6620310097753,0.97180625,2.998839731489514,1.731642131943725,0.2810383520210163,0.2287054339496515,2.339694764958181,0.4581824828419535,1.169847382479091,0.2290912414209768,"45","45"
"17","0005","A","1","026",20,31.83101550488765,0.9264062499999999,2.796002874056344,1.633094518361513,0.2550254103246141,0.2354474995169699,2.163064069694038,0.5646472820032282,1.081532034847019,0.2823236410016141,"45","45"
"17","0005","A","1","026",25,56.58847200868916,2.795627777777778,13.37658540508262,8.334998675247455,0.7258224870504494,0.757639897173729,8.185408861452187,2.113587562759363,4.092704430726093,1.056793781379681,"45","45"
"17","0005","A","1","026",30,14.14711800217229,1.033611111111111,6.270010739952482,3.985307705316669,0.2537915484550717,0.2934096032317232,3.486535129425476,0.9120690016356171,1.743267564712738,0.4560345008178086,"45","45"
"17","0005","A","1","026",35,28.29423600434458,2.874455555555555,18.65678821465547,12.20561376428364,0.663902756783192,0.8491268770924055,10.41516616415914,2.898655774751367,5.207583082079571,1.449327887375684,"45","45"
"17","0005","A","1","026",40,56.58847200868916,7.608258333333333,48.69354446093983,32.68619921789887,1.648629671928505,2.324298942354674,28.15982309992489,8.584573141719119,14.07991154996244,4.292286570859559,"45","45"
"17","0005","A","1","026",45,45.83666232703823,7.07923,51.77276672704953,35.62346720692527,1.478436994779678,2.198967907381871,28.71645692392681,8.444860372487016,14.3582284619634,4.222430186243508,"45","45"
"17","0005","A","1","026",50,25.46481240391012,4.984357000000001,38.14929497590648,27.31615564291905,0.966638895773836,1.593280489994501,21.31060650055679,6.545592415279445,10.65530325027839,3.272796207639722,"45","45"
"17","0005","A","1","045",10,127.3240620195506,1.1025,2.945642516991795,1.934899066467841,0.09771125153173069,0.623723435535841,4.423209266645234,3.565519370764485,2.211604633322617,1.782759685382243,"45","45"
"17","0005","A","1","045",15,127.3240620195506,2.82015625,8.585990973996349,6.656022674313019,0.1647358493828407,2.082233792731322,12.63357560517852,9.120473231707511,6.316787802589258,4.560236615853755,"45","45"
"17","0005","A","1","045",20,31.83101550488765,0.77000625,2.743886848155245,2.103245481404472,0.04318577661709515,0.5825946579547611,3.566766478611936,2.490224217673217,1.783383239305968,1.245112108836608,"45","45"
"17","0005","A","1","045",25,56.58847200868916,2.939316666666667,7.191292006049043,5.88533924856985,0.1138991666938987,2.767150594179433,17.78038931924172,9.505841734068843,8.89019465962086,4.752920867034422,"45","45"
"17","0006","A","1","023",40,28.29423600434458,3.551344444444444,21.28135748640029,16.16550427709409,0.3472110789652402,1.904118414854507,18.67788888540235,5.290407723477601,9.338944442701173,2.645203861738801,"45","45"
